Codice          |Cod.commerciale   |Descrizione                             |Costruttore |Descrizione supplementare

HHCAVO_CM001    |N18               |CAVO ROSSO PER UGELLI HE ALTA TENSIONE  |SIMCO       |

HHCAVO_CP001    |SR300A015040      |CATENA NYLON 18 PASSI SENZA ATTACCHI    |B.STENDALTO |

HHCAVO_CP002    |AN300A015K        |KIT ATTACCHI PER MONTAGGIO CATENA       |B.STENDALTO |

HHCAVO_CP003    |A300A015K         |KIT ATTACCHI METALL.PER MONTAGGIO CATENA|B.STENDALTO |

HHCAVO_CP004    |07534             |CANALE A BASE PIANA TA-E 40X40 G        |BOCCHIOTTI  |

HHCAVO_CP005    |B4J01A3H100L      |CANALE GRIGLIATO 100X60 ACCIAIO INOX 304|FEMI-CZ     |

HHCAVO_CP006    |A4J01A3H200R      |CANALE GRIGLIATO 200X60 ACCIAIO INOX 304|FEMI-CZ     |

HHCAVO_CP007    |B4J01A3H060L      |CANALE GRIGLIATO 60X60 ACCIAIO INOX 304 |FEMI-CZ     |

HHCAVO_CP008    |A4J25             |MORSETTO DI FISSAGGIO INOX 304          |FEMI-CZ     |

HHCAVO_CP009    |B4Y25             |PIASTRINA DI FISSAGGIO INOX 304         |FEMI-CZ     |

HHCAVO_CP010    |B4I30             |MORSETTO DI GIUNZIONE INOX 304          |FEMI-CZ     |

HHCAVO_CP011    |01172             |CANALE PER CABLAGGIO T1-E 25X80 G       |BOCCHIOTTI  |ANNULLATO - SOSTITUITO DA HHCAVO_CP035
HHCAVO_CP012    |02581             |CANALE PER CABLAGGIO T1-E 40X80 G       |BOCCHIOTTI  |

HHCAVO_CP013    |01114             |CANALE PER CABLAGGIO T1-E 60X80 G       |BOCCHIOTTI  |

HHCAVO_CP014    |02588             |CANALE PER CABLAGGIO T1-E 100X80 G      |BOCCHIOTTI  |

HHCAVO_CP015    |00702             |COPERCHIO PER CANALE 25X80 COV 25G      |BOCCHIOTTI  |

HHCAVO_CP016    |00703             |COPERCHIO PER CANALE 40X80 COV 40G      |BOCCHIOTTI  |

HHCAVO_CP017    |00704             |COPERCHIO PER CANALE 60X80 COV 60G      |BOCCHIOTTI  |

HHCAVO_CP018    |00706             |COPERCHIO PER CANALE 100X80 COV 100G    |BOCCHIOTTI  |

HHCAVO_CP019    |I-BVND-M207GT     |ADATTATORE INNESTO GUAINA 20MM-M20X1.5  |IGUS        |

HHCAVO_CP020    |BT16              |BOCCOLA TERMINALE IN PLASTICA TUBO 16MM |LEGRAND     |

HHCAVO_CP021    |GW50601           |SUPPORTO A SCATTO FISSA TUBO DA 16MM    |GEWISS      |

HHCAVO_CP022    |BT25              |BOCCOLA TERMINALE IN PLASTICA TUBO 25MM |LEGRAND     |

HHCAVO_CP023    |GW50628           |SUPPORTO A SCATTO FISSA TUBO DA 40MM    |GEWISS      |

HHCAVO_CP024    |BT40              |BOCCOLA TERMINALE IN PLASTICA TUBO 40MM |LEGRAND     |

HHCAVO_CP025    |2/0308            |CANALE GRIGLIATO 100X65 ACCIAIO INOX 304|BASORFIL    |MOD. BFR 100X65

HHCAVO_CP026    |05243             |GUAINA INTRECCIATA GRIGIA DIAM.10 MM    |BOCCHIOTTI  |

HHCAVO_CP027    |05244             |GUAINA INTRECCIATA GRIGIA DIAM.20 MM    |BOCCHIOTTI  |

HHCAVO_CP028    |SR300A025040      |CATENA NYLON 18 PASSI SENZA ATTACCHI    |B.STENDALTO |

HHCAVO_CP029    |A300A025K         |KIT ATTACCHI ACCIAIO MONTAGGIO CATENA   |B.STENDALTO |

HHCAVO_CP030    |A4J01A3G100R      |CANALE GRIGLIATO 100X35 ACCIAIO INOX 304|FEMI-CZ     |

HHCAVO_CP031    |A4J01A3H150R      |CANALE GRIGLIATO 150X60 ACCIAIO INOX 304|FEMI-CZ     |

HHCAVO_CP032    |B4I50F3B025D      |SEPARATORE PER CANALE GRIGLIATO H=60MM  |FEMI-CZ     |

HHCAVO_CP033    |D0I10A06X20J      |VITE  M6X20 PER SEPARATORE              |FEMI-CZ     |

HHCAVO_CP034    |D0I16S06J         |DADO ESAGONALE PER SEPARATORE           |FEMI-CZ     |

HHCAVO_CP035    |02578             |CANALE PER CABLAGGIO 25X80 CON COPERCHIO|BOCCHIOTTI  |T1-EN

HHCAVO_CP036    |DX25316           |TUBO RIGIDO DIAMETRO ESTERNO 16MM PVC   |GEWISS      |BARRE DA 3 METRI

HHCAVO_CP037    |DX25320           |TUBO RIGIDO DIAMETRO ESTERNO 20MM PVC   |GEWISS      |BARRE DA 3 METRI

HHCAVO_CP038    |DX25340           |TUBO RIGIDO DIAMETRO ESTERNO 40MM PVC   |GEWISS      |BARRE DA 3 METRI

HHCAVO_CP039    |GW50605           |SUPPORTI A COLLARE PER TUBO 16MM PVC    |GEWISS      |PER HHCAVO_CP036

HHCAVO_CP040    |GW50606           |SUPPORTI A COLLARE PER TUBO 20MM PVC    |GEWISS      |PER HHCAVO_CP037

HHCAVO_CP041    |GW50630           |SUPPORTI A COLLARE PER TUBO 40MM PVC    |GEWISS      |PER HHCAVO_CP038

HHCAVO_CP042    |SR300A015040      |CATENA NYLON 20 PASSI SENZA ATTACCHI    |B.STENDALTO |

HHCAVO_CV001    |RX 1512           |CAVETTO A CONNETTORE                    |SIEMENS     |

HHCAVO_CV002    |90131             |PROLUNGA ESTENSIBILE 5MT 3G1MM NERA     |FME         |

HHCAVO_CV003    |ED30000           |CAVO PIATTO 26 POLI PER AROLMATIC       |AROL        |

HHCAVO_CV004    |ED30001           |CAVO PIATTO 20 POLI PER AROLMATIC       |AROL        |

HHCAVO_CV005    |146401.0          |CAVO PER SC.MULTIVIE 8FSK5P3/S199 ESCHA |AMEGLIO L.  |

HHCAVO_CV007    |T-90500           |CAVO PER SENSORI 4P C/ CONNETTORE  5MT  |OMRON       |

HHCAVO_CV008    |XCZ-P1169L2       |CAVO A CONNETTORE PER FINECORSA         |TELEMECANIQU|

HHCAVO_CV009    |Y92E-LM12PVC4A10ML|CAVO PER SENSORI 4P C/ CONNETTORE 10MT  |OMRON       |

HHCAVO_CV010    |XZ-CR1512041C1    |CAVO PROLUNGA M12 M/F 90G 1 METRO       |TELEMECANIQU|

HHCAVO_CV011    |XZ-CR1512041C2    |CAVO PROLUNGA M12 M/F 90G 2 METRI       |TELEMECANIQU|

HHCAVO_CV012    |XZ-CP1965L5       |CAVO A CONNETTORE 1/2" 20UNF 90 GR.5MT  |TELEMECANIQU|

HHCAVO_CV013    |159421            |CAVO 5MT CONN.M8 MOD.SIM-M8-3GD-5-PU    |FESTO       |

HHCAVO_CV014    |SC999.12382N      |CAVO SPIRALATO 2X0,75MM / 5 METRI       |SCAME       |

HHCAVO_CV015    |9 015 006         |CAVO 5MT CON CONNETTORE M8 CT5-0804-09  |SICK        |

HHCAVO_CV016    |K-D M8W-3P-5M-PVC |CAVO A CONNETTORE M8 CURVO              |LEUZE       |

HHCAVO_CV017    |CV017             |CAVO SPIRALATO PER MOTORE SBC - POTENZA |R.E.D.      |

HHCAVO_CV018    |CV018             |CAVO SPIRALATO PER MOTORE SBC - RESOLVER|R.E.D.      |

HHCAVO_CV019    |D-LC30            |CAVO PER FINECORSA MAGNETICI L.3M       |S.M.C.      |

HHCAVO_CV020    |VTPLC02402        |CAVO COLLEGAMENTO PANN.ESA /PLC CQM1H   |AMEGLIO L.  |

HHCAVO_CV021    |VTPLC07402        |CAVO COLLEGAMENTO PANN.ESA /PLC SLC500  |AMEGLIO L.  |

HHCAVO_CV022    |VTPLC1402         |CAVO COLLEGAMENTO PANN.ESA /PLC S7/300  |AMEGLIO L.  |

HHCAVO_CV023    |MPI/MPI           |CAVO DI COLLEGAMENTO MPI / MPI          |AMEGLIO L.  |

HHCAVO_CV024    |EVT004            |CAVO A CONN.M12 90GR.PER AMB.AGGRESSIVI |IFM         |

HHCAVO_CV025    |CAVO POT.ATTUATORE|CAVO 10 METRI CONN.POTENZA LATO AZIONAM.|SERVOTECNICA|

HHCAVO_CV026    |CAVO ENC.ATTUATORE|CAVO 10 METRI CONN.COMANDO LATO AZIONAM.|SERVOTECNICA|

HHCAVO_CV027    |VW3E1101R020      |EMO-101 CAVO SCL-PD8 L.2 METRI          |ELAU        |SOST.COD. 15154501-020

HHCAVO_CV028    |VW3E2065R150      |CAVO E-FB-065 SIN-MASTERENC 15M         |ELAU        |SOST.COD. 15154212-150

HHCAVO_CV029    |VW3E3056R003      |ESS-056 CAVO SERCOS FIBRA OTT. 30CM     |ELAU        |SOST.COD. 15154303-003

HHCAVO_CV030    |VW3E1102R200      |EMO-102 CAVO 24VDC+325VDC LUNGH.20 METRI|ELAU        |SOST.COD. 15154502-200

HHCAVO_CV031    |VW3E3001R200      |CAVO CAT.7 PER SERCOS LUNGH.20 METRI    |ELAU        |SOST.COD. KA99037-200

HHCAVO_CV032    |VW3E1104R010      |EMO-104 CAVO 24VDC+325VDC L. 1 METRO    |ELAU        |SOST.COD. 15154504-010

HHCAVO_CV033    |VW3E3001R010      |CAVO CAT.7 PER SERCOS LUNGH. 1 METRO    |ELAU        |SOST.COD. KA99037-010

HHCAVO_CV034    |L90500            |CAVO PER SENS.4P CONNETT.M12 DRITTO 5MT |OMRON       |

HHCAVO_CV035    |L901000           |CAVO PER SENS.4P CONNETT.M12 DRITTO 10MT|OMRON       |

HHCAVO_CV036    |EL1064            |KIT CAVI HAR PER AZIONAMENTO ELMO       |SERVOTECNICA|

HHCAVO_CV037    |V90500            |CAVO PER SENSORI 4P A CONNETTORE M8 5MT |OMRON       |

HHCAVO_CV038    |VW3E1106R020      |EMO-106 SCL055 HYBRID 2 M. A CONNETTORE |ELAU        |SOST.COD. 15154507-020

HHCAVO_CV039    |374-8547          |CAVO DI ALIMENTAZIONE A DUE POLI NYLHY  |R.S.        |

HHCAVO_CV040    |490-908           |CAVO CEI 23.16 - 10A                    |R.S.        |

HHCAVO_CV041    |VW3E1111R050      |CAVO E-MO-111 SH-MOTOR 1.5 5.0M         |ELAU        |SOST.COD. 15154127-050

HHCAVO_CV042    |VW3E2080R050      |CAVO E-FB-080 SH-FEEDBACK 5.0M          |ELAU        |SOST.COD. 15154223-050

HHCAVO_CV043    |VW3E2065R050      |CAVO E-FB-065 SIN-MASTERENC 5.0M        |ELAU        |SOST.COD. 15154212-050

HHCAVO_CV044    |VW3W3056R010      |ESS-056 CAVO SERCOS FIBRA OTT. 100CM    |ELAU        |SOST.COD. 15154303-010

HHCAVO_CV045    |CAVO ABV          |CAVO ALIMENTAZIONE BASE VIBRANTE        |SARG        |

HHCAVO_CV046    |MQD9-415RA        |CAVO SENSORI NAMUR CONNETT. M12 5MT BLU |BANNER      |

HHCAVO_CV047    |EVT006            |CAVO CONN.M12 90GR.PER AMB.AGGRESS.25M  |IFM         |

HHCAVO_CV048    |VW3E1104R012      |EMO-104 CAVO 24VDC+325VDC L. 1,2 METRI  |ELAU        |SOST.COD. 15154504-012

HHCAVO_CV049    |VW3E3001R020      |CAVO CAT.7 PER SERCOS L. 2 METRI        |ELAU        |SOST.COD. KA99037-020

HHCAVO_CV050    |VW3E1106R025      |EMO-106 SCL055 HYBRID 2,5M. A CONNETTORE|ELAU        |SOST.COD. 15154507-025

HHCAVO_CV051    |CVPLC11702        |CAVO ESA/TSX MICRO                      |ESA         |

HHCAVO_CV052    |EVT005            |CAVO CONN.M12 90GR.PER AMB.AGGRESS.10M  |IFM         |

HHCAVO_CV053    |E492I2N50011C4H   |CAVO A CONNETTORE FORMA C MICRO LED 5M. |MPM         |PER ELETTROV.SMC SY

HHCAVO_CV054    |E472I2N50061C4H   |CAVO A CONNETTORE FORMA B RETT. LED 5M. |MPM         |PER ELETTROV.SMC EVT + BOSCH

HHCAVO_CV055    |E462I2N50061CH4   |CAVO A CONNETTORE FORMA INDUSTR.LED 5M. |MPM         |PER ELETTROV.FESTO BOB. MSF

HHCAVO_CV060    |404001I02M050     |CAVO A CONNETTORE 4POLI M8 90G 5 METRI  |BRAD HARRISO|

HHCAVO_CV061    |404001I03M100     |CAVO A CONNETTORE 4POLI M8 90G 10 METRI |BRAD HARRISO|

HHCAVO_CV062    |805001I03M050     |CAVO A CONNETTORE 4POLI M12 90G 5 METRI |BRAD HARRISO|

HHCAVO_CV063    |805001I03M100     |CAVO A CONNETTORE 4POLI M12 90G 10 METRI|BRAD HARRISO|

HHCAVO_CV064    |                  |CAVO A CONNETTORE 3POLI 3M.PER VIBRATORE|BROVIND     |PER MASSA VIBRANTE AL50

HHCAVO_CV065    |CA5-USBEXT-01     |PROLUNGA USB PER MONTAGGIO A PANNELLO   |PROFACE     |

HHCAVO_CV066    |EVT139            |CAVO 4 POLI A CONNETT.M8 90 GRADI 5M    |IFM         |IP68 - GUAINA ARANCIONE

HHCAVO_CV067    |EVC243            |CAVO 4 POLI A CONNETT.M8 90 GRADI 10M   |IFM         |IP68 - GUAINA ARANCIONE

HHCAVO_CV068    |E11222            |CAVO 4 POLI A CONNETT.M8 90 GRADI 25M   |IFM         |IP68 - GUAINA ARANCIONE

HHCAVO_CV069    |EVT135            |CAVO 4 POLI A CONNETT.M8 DRITTO 5M      |IFM         |IP68 - GUAINA ARANCIONE

HHCAVO_CV070    |E11224            |CAVO 4 POLI A CONNETT.M8 DRITTO 10M     |IFM         |IP68 - GUAINA ARANCIONE

HHCAVO_CV071    |E11225            |CAVO 4 POLI A CONNETT.M8 DRITTO 25M     |IFM         |IP68 - GUAINA ARANCIONE

HHCAVO_CV072    |2023885           |CAVO A CONNETTORE FORMA C MICRO LED 5M. |SMC         |PER ELETTROV.SMC SY

HHCAVO_CV073    |XBTZ9780          |CAVO XBT/TSX MICRO                      |TELEMECANIQU|

HHCAVO_CV074    |8047680           |CAVO A CONNETTORE                       |FESTO       |PER ELETTROVALVOLE SERIE CPE10/14 - NEBV-Z4WA2L-R-E-5-N-LE2-S1

HHCAVO_CV075    |8047672           |CAVO A CONNETTORE                       |FESTO       |PER ELETTROVALVOLE SERIE MHE - NEBV-Z4WA2L-P-E-5-N-LE2-S1

HHCAVO_CV076    |XZ CP0666L5       |CAVO A CONNETTORE M8 3 POLI A VITE      |TELEMECANIQU|

HHCAVO_CV077    |VW3E1117R025      |CAVO EMO117 PS5/DB5 HYBRID 2,5MT        |ELAU        |PER SISTEMA ISH SOST.COD. 15154513-025

HHCAVO_CV078    |VW3E1117R100      |CAVO EMO117 PS5/DB5 HYBRID 10MT         |ELAU        |PER SISTEMA ISH SOST.COD. 15154513-100

HHCAVO_CV079    |VW3E1118R010      |CAVO EMO118 DB5/DB5/ISH HYBRID 1MT      |ELAU        |PER SISTEMA ISH SOST.COD. 15154514-010

HHCAVO_CV080    |VW3E1118R020      |CAVO EMO118 DB5/DB5/ISH HYBRID 2MT      |ELAU        |PER SISTEMA ISH SOST.COD. 15154514-020

HHCAVO_CV081    |30937             |CAVO A CONNETTORE CON LED KMF-1-24-5-LED|FESTO       |SOLO PER 24VDC

HHCAVO_CV082    |CNT3F             |CAVO A CONNETTORE PER VIBRATORI LINEARI |BROVIND     |

HHCAVO_CV083    |CABLE 13324535    |MOVIDRIVE CAVO IBRIDO ENCODER           |SEW EURODRIV|COD.ORDINE 13324535 LUNGHEZZA 20 METRI

HHCAVO_CV084    |CABLE 08179581    |MOVIDRIVE CAVO IBRIDO MASTER/SLAVE      |SEW EURODRIV|COD.ORDINE 08179581 LUNGHEZZA 1 METRO

HHCAVO_CV085    |EVT001            |CAVO A CONN.M12 DRITTO                  |IFM         |PVC ARANCIONE IP69K DADO INOX 316L

HHCAVO_CV086    |VW3E1117R050      |CAVO EMO117 PS5/DB5 HYBRID 5MT          |ELAU        |PER SISTEMA ISH SOST.COD. 15154513-050

HHCAVO_CV087    |E452I2N50011C4H   |CAVO A CONNETTORE FORMA A LED 5M.       |MPM         |PER ELETTROV.BOSCH GRANDI

HHCAVO_CV088    |VW3E1117R150      |CAVO EMO117 PS5/DB5 HYBRID 15MT         |ELAU        |PER SISTEMA ISH SOST.COD. 15154513-150

HHCAVO_CV089    |ED30003           |CAVO MESSA A TERRA RESISTENZE ELESEPTIC |AROL        |

HHCAVO_CV090    |AM8FA30050        |CAVO A CONNETTORE M8 3 POLI             |STM         |

HHCAVO_CV091    |VW3E1117R060      |CAVO EMO117 PS5/DB5 HYBRID 6MT          |ELAU        |PER SISTEMA ISH SOST.COD. 15154513-060

HHCAVO_CV092    |VW3E1118R006      |CAVO EMO118 DB5/DB5/ISH HYBRID 60CM     |ELAU        |PER SISTEMA ISH SOST.COD. 15154514-006

HHCAVO_CV093    |VW3E1118R017      |CAVO EMO118 DB5/DB5/ISH HYBRID 1.7MT    |ELAU        |PER SISTEMA ISH SOST.COD. 15154514-017

HHCAVO_CV094    |VW3E1118R040      |CAVO EMO118 DB5/DB5/ISH HYBRID 4MT      |ELAU        |PER SISTEMA ISH SOST.COD. 15154514-040

HHCAVO_CV095    |VW3E1118R022      |CAVO EMO118 DB5/DB5/ISH HYBRID 2.2MT    |ELAU        |PER SISTEMA ISH SOST.COD. 15154514-022

HHCAVO_CV096    |VW3E1118R025      |CAVO EMO118 DB5/DB5/ISH HYBRID 2.5MT    |ELAU        |PER SISTEMA ISH SOST.COD. 15154514-025

HHCAVO_CV097    |IT104-S7300       |CAVO COLLEGAMENTO PANN.IT104 /PLC S7/300|AMEGLIO L.  |

HHCAVO_CV098    |889D-F8AB-5       |CAVO 8 POLI A CONNETT.M12 DRITTO 5M     |ALLEN BRADLE|PER HHSENS_SQ162

HHCAVO_CV099    |889D-F8AB-10      |CAVO 8 POLI A CONNETT.M12 DRITTO 10M    |ALLEN BRADLE|PER HHSENS_SQ162

HHCAVO_CV100    |VW3E1118R050      |CAVO EMO118 DB5/DB5/ISH HYBRID 5MT      |ELAU        |PER SISTEMA ISH SOST.COD. 15154514-050

HHCAVO_CV101    |C12F8-A2-500-416  |CAVO 8 POLI A CONNETT.M12 DRITTO 5M     |MIN-TEC     |CONNETTORE FEMMINA ASSIALE

HHCAVO_CV102    |C12F8-A2-10K-416  |CAVO 8 POLI A CONNETT.M12 DRITTO 10M    |MIN-TEC     |CONNETTORE FEMMINA ASSIALE

HHCAVO_CV103    |CCB-84901-1003-05 |CAVO ETHERNET 5M PER SISTEMA DI VISIONE |COGNEX      |

HHCAVO_CV104    |CCB-84901-0902-05 |CAVO 5M PER MODULO I/O                  |COGNEX      |PER SISTEMA DI VISIONE

HHCAVO_CV105    |IC00-CB5          |CAVO 5M PER ILLUMINATORE                |COGNEX      |PER SISTEMA DI VISIONE

HHCAVO_CV106    |ED30004           |CAVO MESSA A TERRA FLANGIA ELESEPTIC    |AROL        |

HHCAVO_CV107    |FX-50DU-CAB0/EN   |CAVO PANNELLO GT11 /PLC FX              |MITSUBISHI  |CODICE 70451

HHCAVO_CV108    |SC09              |CAVO PROGRAMMAZIONE PLC SERIE FX        |MITSUBISHI  |CODICE 43393

HHCAVO_CV109    |ED30005           |CAVO MESSA A TERRA COLLETTORE ELESEPTIC |AROL        |

HHCAVO_CV110    |VW3E1120R025      |CAVO EMO120 DB5/DB5/ISH HYBRID 2.5MT    |ELAU        |PER SISTEMA ISH-USC. ASSIALE SU MOTORE-VERSO IL BASSO SU DB5 SOST.COD. 15154516-025

HHCAVO_CV111    |ED30006           |CAVO MESSA A TERRA RESISTENZE ELESEPTIC |AROL        |VERSIONE 2 - 2,5MM2

HHCAVO_CV112    |ED30007           |CAVO MESSA A TERRA FLANGIA ELESEPTIC    |AROL        |VERSIONE 2 - 2,5MM2

HHCAVO_CV113    |310300            |CAVO DI PROGRAMMAZIONE PER PNOZ MULTI   |PILZ        |

HHCAVO_CV114    |VW3E3001R250      |CAVO CAT.7 PER SERCOS LUNGH.25 METRI    |ELAU        |SOST.COD. KA99037-250

HHCAVO_CV115    |312992            |CAVO DI PROGRAMMAZIONE PER PSSU         |PILZ        |PER RELE MM0P

HHCAVO_CV116    |TC8S 2-L669-5M    |CAVO A CONNETTORE FORMA C MICRO LED 5M. |TURCK INC.  |PER ELETTROV.SMC SY

HHCAVO_CV117    |VBS 2-B669-5M     |CAVO A CONNETTORE FORMA B RETT. LED 5M. |TURCK INC.  |PER ELETTROV.SMC EVT + BOSCH

HHCAVO_CV118    |WK 4.4T-5/S824    |CAVO PER SENSORI 4P 5MT CONN.DRITTO     |TURCK INC.  |CAVO PLTC

HHCAVO_CV119    |RK 4.4T-5/S824    |CAVO PER SENSORI 4P 5MT CONN.CURVO      |TURCK INC.  |CAVO PLTC

HHCAVO_CV120    |VW3E1120R020      |CAVO EMO120 DB5/DB5/ISH HYBRID 2MT      |ELAU        |PER SISTEMA ISH-USC. ASSIALE SU MOTORE-VERSO IL BASSO SU DB5 SOST.COD. 15154516-020

HHCAVO_CV121    |VW3E2065R060      |CAVO E-FB-065 SIN-MASTERENC 6.0M        |ELAU        |SOST.COD. 15154212-060

HHCAVO_CV122    |VW3E1120R018      |CAVO EMO120 DB5/DB5/ISH HYBRID 1,8MT    |ELAU        |PER SISTEMA ISH-USC. ASSIALE SU MOTORE-VERSO IL BASSO SU DB5 SOST.COD. 15154516-018

HHCAVO_CV123    |0150-2119         |CAVO L=2MT K05-W/R-2 PER PARTE ROTATIVA |LINMOT      |COD. 0084000005908

HHCAVO_CV124    |0150-1811         |CAVO L=2MT K15-W/C-2 PER PARTE LINEARE  |LINMOT      |

HHCAVO_CV125    |E00000599         |CAVO M8 4P FEMMINA M12 4P MASCHIO       |OMRON       |IN PVC GRIGIO CHIARO

HHCAVO_CV126    |K05-W/R-1         |CAVO L=1MT PER MOTORE LINEARE           |LINMOT      |K05-04/05 + MC01-R/F-AS + MC01-W/M-AS

HHCAVO_CV127    |370-673           |CAVO 5 POLI A CONNETTORE M12 DRITTO 5M  |MTS SENSOR  |

HHCAVO_CV128    |VW3E1113R150      |CAVO E-MO-113 SH-MOTOR 2.5 S2 15MT      |ELAU        |SOST.COD. 15154129-150

HHCAVO_CV129    |VW3E2080R150      |CAVO E-FB-080 SH-FEEDBACK 15MT          |ELAU        |SOST.COD. 15154223-150

HHCAVO_CV130    |VW3E2065R040      |CAVO E-FB-065 SIN-MASTERENC 4.0M        |ELAU        |SOST.COD. 15154212-040

HHCAVO_CV131    |VW3E1117R030      |CAVO EMO117 PS5/DB5 HYBRID 3.0M         |ELAU        |SOST.COD. 15154513-030

HHCAVO_CV132    |540320            |CAVO 8 POLI A CONNETT.M12 DRITTO 5M     |PILZ        |

HHCAVO_CV133    |540321            |CAVO 8 POLI A CONNETT.M12 DRITTO 10M    |PILZ        |

HHCAVO_CV134    |VW3E1121R020      |CAVO EMO121 DB5/HCN1/ISH HYBRID 2MT     |ELAU        |PER SISTEMA ISH SOST.COD. 15154517-020

HHCAVO_CV135    |VW3E1127R020      |CAVO EMO127 PS5/HCN1/ISH HYBRID 2MT     |ELAU        |PER SISTEMA ISH SOST.COD. 15154521-020

HHCAVO_CV136    |N12/8L105K        |CAVO 10MT CONN. M12 8 POLI              |SENSTRONIC  |COD. ACMA 2538309187

HHCAVO_CV137    |N12/8MCL225K      |CAVO M12 90GR. M - M12 F 8 POLI 2MT     |SENSTRONIC  |COD. ACMA 2538309190

HHCAVO_CV138    |N12/8MCL325K      |CAVO M12 90GR. M - M12 F 8 POLI 3MT     |SENSTRONIC  |COD. ACMA 2538309191

HHCAVO_CV139    |N12/8MCL525K      |CAVO M12 90GR. M - M12 F 8 POLI 5MT     |SENSTRONIC  |COD. ACMA 2538309192

HHCAVO_CV140    |N12/8MCL1025K     |CAVO M12 90GR. M - M12 F 8 POLI 10MT    |SENSTRONIC  |COD. ACMA 2538309193

HHCAVO_CV141    |VK3-10G:5M        |CAVO A CONNETTORE M8 3 POLI DRITTO      |STM         |

HHCAVO_CV142    |VW3E2065R100      |CAVO E-FB-065 SIN-MASTERENC 10M         |ELAU        |SOST.COD. 15154212-100

HHCAVO_CV143    |8CM005.12-1       |CAVO MOTORE CONNETT.8 POLI 5MT          |B&R         |

HHCAVO_CV144    |8CE005.12-1       |CAVO ENCODER ENDAT 2.1 5MT              |B&R         |

HHCAVO_CV145    |X20CA0E61.00500   |CAVO POWERLINK 5MT                      |B&R         |

HHCAVO_CV146    |X67CA0X21.0050    |CAVO X2X 5MT                            |B&R         |

HHCAVO_CV147    |0150-3308         |MC-LINK CABLE 0.2MT AC01-RJ45/RJ45-0.2  |LINMOT      |

HHCAVO_CV148    |2TLA020056R4000   |CAVO M12-C103 LUNGHEZZA 10 MT.          |JOKAB SAFETY|CON CONNETTORE FEMMINA M12 8X0,25MM

HHCAVO_CV149    |EVT010            |CAVO A CONN.M12 DRITTO 5 POLI           |IFM         |PVC ARANCIONE IP69K DADO INOX 316L

HHCAVO_CV150    |BCC036P           |CAVO PER SENSORI 4P C/ CONNETTORE  5MT  |BALLUFF     |BCC M425-0000-1A-003-VX8434-050 GRIGIO

HHCAVO_CV151    |VW3M5105R100      |CAVO MOTORE 4X6MM 10MT CONN.M40         |SCHNEIDER   |

HHCAVO_CV152    |VW3M8102R100      |CAVO ENCODER M23 RJ45 10MT              |SCHNEIDER   |

HHCAVO_CV153    |XBTZ9721          |CAVO COLLEGAMETO PANN. MAGELIS PLCS7/300|SCHNEIDER   |PER PORTA MPI

HHCAVO_CV154    |196064            |CAVO A CONN.KMYZ-9-24-5-LED-PUR-B 0,5MT |FESTO       |PER ELETTROVALV.CPE10/14-CONN.M8 3P

HHCAVO_CV155    |525654            |CAVO CONN.KMYZ-3-24-M8-0,5-LED-PUR 0,5MT|FESTO       |

HHCAVO_CV156    |ED30020           |CAVO MESSA A TERRA RESISTENZE ELESEPTIC |AROL        |DA 6MM2

HHCAVO_CV157    |HMISTU855-S7300   |CAVO COLLEGAMENTO PANN.HMISTU/PLC S7/300|AMEGLIO L.  |

HHCAVO_CV158    |VW3E1117R300      |CAVO EMO117 PS5/DB5 HYBRID 30 METRI     |SCHNEIDER   |PER SISTEMA ISH

HHCAVO_CV159    |VW3E2065R300      |CAVO E-FB-065 SIN-MASTERENC 30M         |SCHNEIDER   |

HHCAVO_CV160    |VW3E1117R200      |CAVO EMO117 PS5/DB5 HYBRID 20 METRI     |SCHNEIDER   |PER SISTEMA ISH

HHCAVO_CV161    |VW3E2065R200      |CAVO E-FB-065 SIN-MASTERENC 20M         |SCHNEIDER   |

HHCAVO_CV162    |VW3E1118R018      |CAVO EMO118 DB5/DB5/ISH HYBRID 1.8MT    |ELAU        |PER SISTEMA ISH SOST. HHCAVO_CV093

HHCAVO_CV163    |541333            |CAVO CONN. NEBU-M8G3-K-2.5-LE3 2,5MT.   |FESTO       |PER ELETTROVALVOLE SERIE VUVG

HHCAVO_CV164    |1330956           |CAVO 5 POLI - CONNETTORE M12 - 10MT.    |REER        |CD10, DIRITTO

HHCAVO_CV165    |VW3E1121R010      |CAVO EMO121 DB5/HCN1 HYBRID 1MT         |ELAU        |PER SISTEMA ISH

HHCAVO_CV166    |C3G-CBL-001       |CAVO POTENZA E SEGNALE CONN.DRITTO 5M   |COGNEX      |PER SISTEMA DI VISIONE C4G7

HHCAVO_CV167    |CCB-84901-1003-05 |CAVO ETHERNET 5M                        |COGNEX      |PER SISTEMA DI VISIONE C4G7

HHCAVO_CV168    |168.0073N-05      |SPYROS NERA S/SP S/PR C/CAVO 3X1 5M     |SCAME       |

